# spec: core.md
# sha256: 1e4e06add9150804e88f1ae9017191976598e1d0e90118e21ff404a06bcb5629
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
check-extract	interface		dcsterrain check-extract <dir> runs the validation of extract-format.md.	Subcommands in this spec	- `dcsterrain check-extract <dir>`: the validation in
check-extract	behavior		check-extract exits 0 on pass and 1 with a report on failure.	Subcommands in this spec	`extract-format.md`; exit 0 on pass, 1 with a report on failure.
pack subcommand	interface		dcsterrain pack <dir> <out.sqlite> accepts --config pack.toml and --drop g,...	Subcommands in this spec	- `dcsterrain pack <dir> <out.sqlite> [--config pack.toml] [--drop g,...]
pack flags	interface		pack accepts --cell-size N, --allow-partial and --allow-crs-residual.	Subcommands in this spec	[--cell-size N] [--allow-partial] [--allow-crs-residual]
pack flags	interface		pack accepts --betweenness-samples N and --threads N.	Subcommands in this spec	[--betweenness-samples N] [--threads N]`: builds the file, prints a
pack report	interface		The pack report covers grids, sizes, timings, unknown scenery models, road coverage and CRS residual.	Subcommands in this spec	report (grids, sizes, timings, unknown scenery models, road coverage,
pack report	interface		The pack report prints as text or as JSON with --json.	Subcommands in this spec	CRS residual) as text or `--json`.
check subcommand	interface		dcsterrain check <file> [--install <dir>] verifies invariants on a packed file.	Subcommands in this spec	- `dcsterrain check <file> [--install <dir>]`: invariants on a packed file: `meta`
check invariants	constraint		check requires meta complete and every grid row to have tiles or be listed in layers_dropped.	Subcommands in this spec	complete; every `grid` row has tiles or is listed in `layers_dropped`;
check invariants	constraint		check requires tile blob sizes to match and min_val/max_val to match on a sampled 5 % of tiles.	Subcommands in this spec	tile blob sizes match; `min_val`/`max_val` match a sampled 5 % of
check invariants	constraint		check requires every road_edge to reference existing nodes.	Subcommands in this spec	tiles; every `road_edge` references existing nodes; R-tree entries
check invariants	constraint		check requires R-tree entries to equal row counts and poi, airdrome and beacon to lie inside bounds.	Subcommands in this spec	equal row counts; `poi`, `airdrome`, `beacon` inside bounds. With
check install	behavior		With --install <dir>, check also runs Theatre::matches_install and reports which of the three fingerprint files differ.	Subcommands in this spec	`--install <dir>` it also runs `Theatre::matches_install` and reports
check subcommand	behavior		check exits 0 or 1 with a report.	Subcommands in this spec	1 with a report.
stamp subcommand	interface		dcsterrain stamp <file> key=value ... writes meta keys.	Subcommands in this spec	- `dcsterrain stamp <file> key=value ...`: writes `meta` keys, used by
stamp subcommand	goal		The validation sortie uses stamp to record agreement figures.	Subcommands in this spec	the validation sortie to record agreement figures.
schema subcommand	interface		dcsterrain schema [--op name] prints the JSON schema of every operation's request and response structs via schemars.	Subcommands in this spec	- `dcsterrain schema [--op name]`: prints the JSON schema of every
schema subcommand	dependency		The Kotlin client's code generation consumes the schema output.	Subcommands in this spec	the Kotlin client's code generation.
synth subcommand	interface		dcsterrain synth <dir> [--seed N] [--size-km N] [--cell N] writes the synthetic theatre as an extract directory.	Subcommands in this spec	- `dcsterrain synth <dir> [--seed N] [--size-km N] [--cell N]`: writes
synth feature	constraint		The synth feature is on by default in the CLI.	Subcommands in this spec	the synthetic theatre as an extract directory (feature `synth`, on by
synth subcommand	goal		Users and the Kotlin build can produce a test file without DCS.	Subcommands in this spec	default in the CLI), so users and the Kotlin build can produce a test
unit tests	constraint		Unit tests per module run against the synthetic theatre and closed-form expectations.	Testing	Unit tests per module against the synthetic theatre and closed-form
boundary tests	constraint		Boundary tests cover window reads straddling tile edges and the grid edge.	Testing	expectations, plus boundary tests: window reads straddling tile edges
nodata propagation test	constraint		Tests check nodata propagation through every derived layer.	Testing	and the grid edge; nodata propagation through every derived layer;
distance transform test	constraint		The distance transform is tested against brute force on a 64 × 64 grid.	Testing	distance transform against brute force on a 64 × 64 grid; SAT window
sat test	constraint		SAT window sums are tested against brute force.	Testing	sums against brute force; horizon against a brute-force ray march on a
horizon test	constraint		horizon is tested against a brute-force ray march on a small grid.	Testing	small grid; graph build on hand-drawn polylines with a T-junction, a
graph build test	constraint		Graph build is tested on hand-drawn polylines with a T-junction, a loop and a duplicated segment.	Testing	loop and a duplicated segment; betweenness on a known small graph; A*
betweenness test	constraint		Betweenness is tested on a known small graph and A* against Dijkstra.	Testing	against Dijkstra. Integration tests in `tests/` run `pack` and `check`
integration tests	constraint		Integration tests run pack and check on the synthetic extract in a temp dir and assert the report.	Testing	on the synthetic extract in a temp dir and assert the report. The
DCSTERRAIN_EXTRACT	constraint		The opt-in group under DCSTERRAIN_EXTRACT packs a real extract and checks only invariants, never values.	Testing	opt-in group under `DCSTERRAIN_EXTRACT` packs a real extract and checks
committed data	constraint		No test reads a committed data file larger than a few kilobytes.	Testing	larger than a few kilobytes.
acceptance	goal		pack on the synthetic extract produces a file that check accepts.	Acceptance	1. `pack` on the synthetic extract produces a file `check` accepts, and
tolerance	constraint		Every derived layer matches its closed-form expectation within slope 0.1°, distances one cell, horizon 0.25°.	Acceptance	stated tolerance (slope 0.1°, distances one cell, horizon 0.25°).
pack time	goal		pack on a real Caucasus extract at 50 m completes on a desktop under 30 minutes with horizon and under 10 without.	Acceptance	under 30 minutes with `horizon`, under 10 without, and `check`
acceptance	goal		check passes on the real Caucasus packed file.	Acceptance	passes.
acceptance	goal		The Lua-harness extract and the Rust synthetic extract are identical.	Acceptance	3. The Lua-harness extract and the Rust synthetic extract are identical.
tile size	dependency		A blob never fits in one page: grid_tile is a WITHOUT ROWID index b-tree with an in-page payload limit of about 2 030 bytes at page_size 8192.	Grids	b-tree whose in-page payload limit at `page_size = 8192` is about
tile size	constraint		Tile size 64 keeps a 10 km sightline to a handful of 8 KiB blobs.	Grids	and 64 keeps a 10 km sightline to a handful of 8 KiB blobs. A blob
synth fill margin	behavior		The Lua fake returns the exact fill triple in the margin so the hook writes nodata; the Rust generator writes nodata directly.	Synthetic theatre	the Lua fake returns the exact triple (`GetHeight` 5.000005, `land`,
query-time layers	definition		slope, aspect, roughness and tpi_300 are not stored and are computed from the height window at query time.	Grids	Four layers are not stored and are computed from the `height` window
query-time layers	interface		The query-time layers are addressed by the same names in sample, chokepoints and the criteria.	Grids	at query time, addressed by the same names in `sample`, `chokepoints`
slope layer	definition		slope is a Horn 3 × 3 gradient on height in degrees, computed at query time.	Grids	and the criteria: `slope` (Horn 3 × 3 gradient, degrees), `aspect`
aspect layer	definition		aspect is the downslope azimuth from north, clockwise, undefined where slope < 0.5°.	Grids	(downslope azimuth from north, clockwise; undefined where slope <
roughness layer	definition		roughness is max−min of height in a 3 × 3 window, computed at query time.	Grids	0.5°), `roughness` (max−min of `height` in 3 × 3), `tpi_300` (height −
tpi_300 layer	definition		tpi_300 is height minus mean height in a 300 m radius, computed at query time.	Grids	mean height in a 300 m radius). The `grid` table lists them with
query-time layers	interface		The grid table lists the query-time layers with derived_from = 'height', no tiles, and params holding the window.	Grids	`derived_from = 'height'`, no tiles, and `params` holding the window;
query-time layers	constraint	UNVERIFIED	The query-time layers cost a few cells of height per sample, which is not measurable beside the tile read.	Grids	their cost is a few cells of `height` per sample and is not measurable
tile size	behavior		Every tile spills to overflow pages, which VACUUM lays out contiguously.	Grids	Cell"), so every tile spills to overflow pages, which `VACUUM` lays
nofootprint rule	behavior		After the override, a model is misc when no instance returned a footprint.	Scenery classification	`misc` when no instance returned a footprint (parked vehicles and
nofootprint rule	dependency		Parked vehicles and radars placed as scenery return no footprint: 26 of 263 Caucasus models.	Scenery classification	radars placed as scenery do this: 26 of 263 Caucasus models); else
classification	dependency		On the live Caucasus catalogue the rules alone give misc 34.8 %, building 57.8 % and industrial 7.4 % of objects.	Scenery classification	misc 34.8 %, building 57.8 %, industrial 7.4 % of objects;
classes/Caucasus.toml	definition		classes/Caucasus.toml is drafted as classes-Caucasus.toml beside these documents.	Scenery classification	`classes/Caucasus.toml` (drafted as `classes-Caucasus.toml` beside
classes/Caucasus.toml	behavior		The Caucasus override moves bridges, harbour works, sports fields and vehicles to misc.	Scenery classification	these documents) moves bridges, harbour works, sports fields and
classes/Caucasus.toml	behavior		The Caucasus override moves tanks, garages, barns, towers and plant to industrial, and the fortress wall towers to wall.	Scenery classification	`industrial`, and the fortress wall towers to `wall`.
logging	behavior		Every subcommand writes warnings and progress to stderr, more with --verbose.	Subcommands in this spec	- Logging: every subcommand writes warnings and progress to stderr,
logging	constraint		stdout carries only the report or the --json document.	Subcommands in this spec	more with `--verbose`; stdout carries only the report or the `--json`
logging	interface		Only serve takes --log <path>, because it is the one long-running process.	Subcommands in this spec	document. Only `serve` takes `--log <path>`, because it is the one
