# spec: extractor-hook.md
# sha256: 2a39c9894c3d9fca31658f38566b6f742b1e65f720888ec0028bbd044be4a15a
# generated: 2026-09-03 (re-stamped after rename; rows from the 2026-09-02 review)
subject	kind	status	claim	section	anchor
fill test	behavior		Each layer sweep compares its own unrounded return with the fill triple first and makes the other two calls only on a match.	Hook-pass sweeps	the unrounded value: it compares its own call's return with the fill
fill test	dependency		The other two fill-test calls are `GetHeight` or `GetSurfaceType`, and `GetSurfaceHeightWithSeabed`.	Hook-pass sweeps	`GetSurfaceType`, and `GetSurfaceHeightWithSeabed`) only on a match, so
fill test	constraint		The extra fill-test cost falls on fill cells alone.	Hook-pass sweeps	the extra cost falls on fill cells alone; a fill cell is encoded
fill test	behavior		A fill cell is encoded `nodata`.	Hook-pass sweeps	the extra cost falls on fill cells alone; a fill cell is encoded
fill test	dependency		Each layer sweep applies the fill test of `extract-format.md` ("Tile binary layout") on the unrounded value.	Hook-pass sweeps	the fill test of `extract-format.md` ("Tile binary layout") on
pre-sweep	definition		The post-density line is 201 `GetHeight` calls at 10 m along x.	Lifecycle	at 10 m along x) and one `getClosestPointOnRoads` snap (nil where no
pre-sweep	behavior		The pre-sweep's `getClosestPointOnRoads` snap is nil where no road is reachable, and a nil snap counts as "no road".	Lifecycle	road is reachable; a nil snap is "no road"), sliced under
pre-sweep	dependency		The pre-sweep bounds rule is given in `extract-format.md`, "manifest.json".	Lifecycle	`authored_bounds_m` (`extract-format.md`, "manifest.json");
manifest rewrite	behavior		The manifest is rewritten at the end of each sweep and at every phase change, never per tile.	Lifecycle	"manifest.json"). The manifest is rewritten at the end of each sweep
path cost	dependency		In 200 calls near Kutaisi, 166 were under 1 ms, 8 above 5 ms, maximum 18 ms.	Hook-pass sweeps	mean (200 calls near Kutaisi: 166 under 1 ms, 8 above 5 ms, maximum
seed merge	dependency		Near Kutaisi 126 of 441 seeds merged, where 309 of 441 snapped more than 500 m.	Hook-pass sweeps	before pairing (126 of 441 near Kutaisi, where 309 of 441 snapped more
skip set	constraint		No seed is placed in a skip-set tile.	Hook-pass sweeps	than 500 m), and no seed is placed in a skip-set tile.
stub harness	dependency		`dcs-scripting/scripts/StubHarness.lua` is 1 197 lines.	Testing	`dcs-scripting/scripts/StubHarness.lua` (1 197 lines; it stubs
stub harness	behavior		The harness stubs `net.dostring_in` and passes `require` through, so the fake `terrain` module installs through `package.loaded`.	Testing	`net.dostring_in` and passes `require` through, so the fake `terrain`
